,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
701,frozenset({'902455'}),"frozenset({'902449', '902453'})",0.0104,0.0114,0.0013,0.1288,11.3327,0.0012,1.1348,1
702,"frozenset({'902453', '902455'})",frozenset({'902450'}),0.002,0.0455,0.0013,0.65,14.2924,0.0012,2.7272,2
703,"frozenset({'902453', '902450'})",frozenset({'902455'}),0.0093,0.0104,0.0013,0.1411,13.5647,0.0012,1.1522,2
704,"frozenset({'902455', '902450'})",frozenset({'902453'}),0.0045,0.025,0.0013,0.2898,11.6086,0.0012,1.3729,2
705,frozenset({'902453'}),"frozenset({'902455', '902450'})",0.025,0.0045,0.0013,0.0525,11.6086,0.0012,1.0506,1
706,frozenset({'902455'}),"frozenset({'902453', '902450'})",0.0104,0.0093,0.0013,0.126,13.5647,0.0012,1.1336,1
707,frozenset({'902450'}),"frozenset({'902453', '902455'})",0.0455,0.002,0.0013,0.0288,14.2924,0.0012,1.0276,1
708,"frozenset({'902449', '902453', '902455'})",frozenset({'902450'}),0.0013,0.0455,0.001,0.7527,16.5503,0.0009,3.8596,3
709,"frozenset({'902449', '902453', '902450'})",frozenset({'902455'}),0.0063,0.0104,0.001,0.1595,15.3307,0.0009,1.1773,3
710,"frozenset({'902449', '902455', '902450'})",frozenset({'902453'}),0.0023,0.025,0.001,0.4321,17.3081,0.001,1.7169,3
711,"frozenset({'902453', '902455', '902450'})",frozenset({'902449'}),0.0013,0.0405,0.001,0.7692,18.9892,0.001,4.1578,3
712,"frozenset({'902449', '902453'})","frozenset({'902455', '902450'})",0.0114,0.0045,0.001,0.0887,19.6136,0.001,1.0924,2
713,"frozenset({'902449', '902455'})","frozenset({'902453', '902450'})",0.0033,0.0093,0.001,0.307,33.0422,0.001,1.4296,2
714,"frozenset({'902449', '902450'})","frozenset({'902453', '902455'})",0.0192,0.002,0.001,0.0526,26.077,0.001,1.0534,2
715,"frozenset({'902453', '902455'})","frozenset({'902449', '902450'})",0.002,0.0192,0.001,0.5,26.077,0.001,1.9617,2
716,"frozenset({'902453', '902450'})","frozenset({'902449', '902455'})",0.0093,0.0033,0.001,0.1085,33.0422,0.001,1.1181,2
717,"frozenset({'902455', '902450'})","frozenset({'902449', '902453'})",0.0045,0.0114,0.001,0.2229,19.6136,0.001,1.2723,2
718,frozenset({'902449'}),"frozenset({'902453', '902455', '902450'})",0.0405,0.0013,0.001,0.0249,18.9892,0.001,1.0242,1
719,frozenset({'902453'}),"frozenset({'902449', '902455', '902450'})",0.025,0.0023,0.001,0.0404,17.3081,0.001,1.0397,1
720,frozenset({'902455'}),"frozenset({'902449', '902453', '902450'})",0.0104,0.0063,0.001,0.097,15.3307,0.0009,1.1004,1
721,frozenset({'902450'}),"frozenset({'902449', '902453', '902455'})",0.0455,0.0013,0.001,0.0222,16.5503,0.0009,1.0213,1
722,"frozenset({'902455', '902454'})",frozenset({'902450'}),0.0019,0.0455,0.0014,0.7273,15.9915,0.0013,3.4999,2
723,"frozenset({'902455', '902450'})",frozenset({'902454'}),0.0045,0.0168,0.0014,0.3057,18.2485,0.0013,1.4162,2
724,"frozenset({'902454', '902450'})",frozenset({'902455'}),0.008,0.0104,0.0014,0.1739,16.7209,0.0013,1.1979,2
725,frozenset({'902455'}),"frozenset({'902454', '902450'})",0.0104,0.008,0.0014,0.133,16.7209,0.0013,1.1442,1
726,frozenset({'902454'}),"frozenset({'902455', '902450'})",0.0168,0.0045,0.0014,0.0825,18.2485,0.0013,1.085,1
727,frozenset({'902450'}),"frozenset({'902455', '902454'})",0.0455,0.0019,0.0014,0.0304,15.9915,0.0013,1.0294,1
728,"frozenset({'902449', '902455'})",frozenset({'902454'}),0.0033,0.0168,0.0011,0.3465,20.6813,0.0011,1.5046,2
729,"frozenset({'902449', '902454'})",frozenset({'902455'}),0.0068,0.0104,0.0011,0.1674,16.0921,0.0011,1.1885,2
730,"frozenset({'902455', '902454'})",frozenset({'902449'}),0.0019,0.0405,0.0011,0.5985,14.7742,0.0011,2.3897,2
731,frozenset({'902449'}),"frozenset({'902455', '902454'})",0.0405,0.0019,0.0011,0.0281,14.7742,0.0011,1.0269,1
732,frozenset({'902455'}),"frozenset({'902449', '902454'})",0.0104,0.0068,0.0011,0.1094,16.0921,0.0011,1.1152,1
733,frozenset({'902454'}),"frozenset({'902449', '902455'})",0.0168,0.0033,0.0011,0.0679,20.6813,0.0011,1.0694,1
734,"frozenset({'902456', '902455'})",frozenset({'902450'}),0.0018,0.0455,0.0013,0.6929,15.236,0.0012,3.1083,2
735,"frozenset({'902456', '902450'})",frozenset({'902455'}),0.0078,0.0104,0.0013,0.1624,15.6103,0.0012,1.1814,2
736,"frozenset({'902455', '902450'})",frozenset({'902456'}),0.0045,0.018,0.0013,0.2803,15.5387,0.0012,1.3643,2
737,frozenset({'902456'}),"frozenset({'902455', '902450'})",0.018,0.0045,0.0013,0.0703,15.5387,0.0012,1.0707,1
738,frozenset({'902455'}),"frozenset({'902456', '902450'})",0.0104,0.0078,0.0013,0.1219,15.6103,0.0012,1.1299,1
739,frozenset({'902450'}),"frozenset({'902456', '902455'})",0.0455,0.0018,0.0013,0.0279,15.236,0.0012,1.0268,1
740,"frozenset({'902449', '902455'})",frozenset({'902456'}),0.0033,0.018,0.0012,0.3596,19.9407,0.0011,1.5335,2
741,"frozenset({'902449', '902456'})",frozenset({'902455'}),0.0086,0.0104,0.0012,0.1376,13.2281,0.0011,1.1475,2
742,"frozenset({'902456', '902455'})",frozenset({'902449'}),0.0018,0.0405,0.0012,0.6457,15.939,0.0011,2.7079,2
743,frozenset({'902449'}),"frozenset({'902456', '902455'})",0.0405,0.0018,0.0012,0.0292,15.939,0.0011,1.0282,1
744,frozenset({'902455'}),"frozenset({'902449', '902456'})",0.0104,0.0086,0.0012,0.1136,13.2281,0.0011,1.1184,1
745,frozenset({'902456'}),"frozenset({'902449', '902455'})",0.018,0.0033,0.0012,0.0655,19.9407,0.0011,1.0666,1
746,frozenset({'902456'}),frozenset({'902465'}),0.018,0.0095,0.0019,0.107,11.2741,0.0018,1.1092,1
747,frozenset({'902465'}),frozenset({'902456'}),0.0095,0.018,0.0019,0.2033,11.2741,0.0018,1.2326,1
748,frozenset({'902454'}),frozenset({'902465'}),0.0168,0.0095,0.0017,0.0997,10.5065,0.0015,1.1002,1
749,frozenset({'902465'}),frozenset({'902454'}),0.0095,0.0168,0.0017,0.176,10.5065,0.0015,1.1933,1
750,frozenset({'902465'}),frozenset({'902450'}),0.0095,0.0455,0.0027,0.2838,6.2395,0.0023,1.3327,1
751,frozenset({'902450'}),frozenset({'902465'}),0.0455,0.0095,0.0027,0.0592,6.2395,0.0023,1.0529,1
752,frozenset({'902449'}),frozenset({'902465'}),0.0405,0.0095,0.0026,0.064,6.7428,0.0022,1.0582,1
753,frozenset({'902465'}),frozenset({'902449'}),0.0095,0.0405,0.0026,0.2731,6.7428,0.0022,1.3201,1
754,frozenset({'902405'}),frozenset({'902465'}),0.0611,0.0095,0.0023,0.0375,3.9501,0.0017,1.0291,1
755,frozenset({'902465'}),frozenset({'902405'}),0.0095,0.0611,0.0023,0.2413,3.9501,0.0017,1.2375,1
756,frozenset({'902453'}),frozenset({'902465'}),0.025,0.0095,0.0019,0.0773,8.1449,0.0017,1.0735,1
757,frozenset({'902465'}),frozenset({'902453'}),0.0095,0.025,0.0019,0.2033,8.1449,0.0017,1.2239,1
758,frozenset({'902434'}),frozenset({'902465'}),0.0179,0.0095,0.0012,0.0651,6.8588,0.001,1.0595,1
759,frozenset({'902465'}),frozenset({'902434'}),0.0095,0.0179,0.0012,0.1229,6.8588,0.001,1.1197,1
760,frozenset({'902465'}),frozenset({'902442'}),0.0095,0.0281,0.0029,0.305,10.8467,0.0026,1.3984,1
761,frozenset({'902442'}),frozenset({'902465'}),0.0281,0.0095,0.0029,0.103,10.8467,0.0026,1.1042,1
762,frozenset({'902465'}),frozenset({'902459'}),0.0095,0.0203,0.0012,0.129,6.3456,0.001,1.1247,1
763,frozenset({'902459'}),frozenset({'902465'}),0.0203,0.0095,0.0012,0.0602,6.3456,0.001,1.054,1
764,frozenset({'902443'}),frozenset({'902465'}),0.01,0.0095,0.0015,0.152,16.0063,0.0014,1.168,1
765,frozenset({'902465'}),frozenset({'902443'}),0.0095,0.01,0.0015,0.1593,16.0063,0.0014,1.1777,1
766,frozenset({'902457'}),frozenset({'902465'}),0.0143,0.0095,0.0015,0.1056,11.1271,0.0014,1.1075,1
767,frozenset({'902465'}),frozenset({'902457'}),0.0095,0.0143,0.0015,0.1593,11.1271,0.0014,1.1725,1
768,frozenset({'902451'}),frozenset({'902465'}),0.0168,0.0095,0.0016,0.0967,10.1823,0.0015,1.0965,1
769,frozenset({'902465'}),frozenset({'902451'}),0.0095,0.0168,0.0016,0.1715,10.1823,0.0015,1.1866,1
770,"frozenset({'902449', '902456'})",frozenset({'902465'}),0.0086,0.0095,0.0012,0.1393,14.6694,0.0011,1.1508,2
771,"frozenset({'902449', '902465'})",frozenset({'902456'}),0.0026,0.018,0.0012,0.4611,25.5663,0.0011,1.8222,2
772,"frozenset({'902456', '902465'})",frozenset({'902449'}),0.0019,0.0405,0.0012,0.6194,15.2906,0.0011,2.521,2
773,frozenset({'902449'}),"frozenset({'902456', '902465'})",0.0405,0.0019,0.0012,0.0295,15.2906,0.0011,1.0284,1
774,frozenset({'902456'}),"frozenset({'902449', '902465'})",0.018,0.0026,0.0012,0.0663,25.5663,0.0011,1.0682,1
775,frozenset({'902465'}),"frozenset({'902449', '902456'})",0.0095,0.0086,0.0012,0.1259,14.6694,0.0011,1.1343,1
776,"frozenset({'902465', '902454'})",frozenset({'902450'}),0.0017,0.0455,0.0011,0.6379,14.027,0.001,2.6363,2
777,"frozenset({'902454', '902450'})",frozenset({'902465'}),0.008,0.0095,0.0011,0.1341,14.1212,0.001,1.1438,2
778,"frozenset({'902465', '902450'})",frozenset({'902454'}),0.0027,0.0168,0.0011,0.3957,23.6198,0.001,1.6271,2
779,frozenset({'902454'}),"frozenset({'902465', '902450'})",0.0168,0.0027,0.0011,0.0636,23.6198,0.001,1.0651,1
780,frozenset({'902465'}),"frozenset({'902454', '902450'})",0.0095,0.008,0.0011,0.1123,14.1212,0.001,1.1175,1
781,frozenset({'902450'}),"frozenset({'902465', '902454'})",0.0455,0.0017,0.0011,0.0234,14.027,0.001,1.0223,1
782,"frozenset({'902465', '902442'})",frozenset({'902450'}),0.0029,0.0455,0.0013,0.4577,10.0643,0.0012,1.7602,2
783,"frozenset({'902442', '902450'})",frozenset({'902465'}),0.0113,0.0095,0.0013,0.1175,12.3767,0.0012,1.1224,2
784,"frozenset({'902465', '902450'})",frozenset({'902442'}),0.0027,0.0281,0.0013,0.492,17.4957,0.0012,1.9131,2
785,frozenset({'902442'}),"frozenset({'902465', '902450'})",0.0281,0.0027,0.0013,0.0471,17.4957,0.0012,1.0466,1
786,frozenset({'902465'}),"frozenset({'902442', '902450'})",0.0095,0.0113,0.0013,0.1396,12.3767,0.0012,1.1491,1
787,frozenset({'902450'}),"frozenset({'902465', '902442'})",0.0455,0.0029,0.0013,0.0291,10.0643,0.0012,1.027,1
788,"frozenset({'902449', '902465'})",frozenset({'902450'}),0.0026,0.0455,0.0014,0.5333,11.7271,0.0013,2.0454,2
789,"frozenset({'902449', '902450'})",frozenset({'902465'}),0.0192,0.0095,0.0014,0.0721,7.5976,0.0012,1.0675,2
790,"frozenset({'902465', '902450'})",frozenset({'902449'}),0.0027,0.0405,0.0014,0.5134,12.673,0.0013,1.9717,2
791,frozenset({'902449'}),"frozenset({'902465', '902450'})",0.0405,0.0027,0.0014,0.0341,12.673,0.0013,1.0326,1
792,frozenset({'902465'}),"frozenset({'902449', '902450'})",0.0095,0.0192,0.0014,0.1457,7.5976,0.0012,1.1481,1
793,frozenset({'902450'}),"frozenset({'902449', '902465'})",0.0455,0.0026,0.0014,0.0304,11.7271,0.0013,1.0287,1
794,"frozenset({'902449', '902465'})",frozenset({'902442'}),0.0026,0.0281,0.0013,0.5,17.781,0.0012,1.9438,2
795,"frozenset({'902449', '902442'})",frozenset({'902465'}),0.0103,0.0095,0.0013,0.1257,13.2407,0.0012,1.1329,2
796,"frozenset({'902465', '902442'})",frozenset({'902449'}),0.0029,0.0405,0.0013,0.4478,11.0534,0.0012,1.7375,2
797,frozenset({'902449'}),"frozenset({'902465', '902442'})",0.0405,0.0029,0.0013,0.032,11.0534,0.0012,1.0301,1
798,frozenset({'902465'}),"frozenset({'902449', '902442'})",0.0095,0.0103,0.0013,0.1366,13.2407,0.0012,1.1462,1
799,frozenset({'902442'}),"frozenset({'902449', '902465'})",0.0281,0.0026,0.0013,0.0461,17.781,0.0012,1.0456,1
800,"frozenset({'902453', '902465'})",frozenset({'902450'}),0.0019,0.0455,0.001,0.5224,11.4864,0.0009,1.9985,2
801,"frozenset({'902453', '902450'})",frozenset({'902465'}),0.0093,0.0095,0.001,0.1085,11.4319,0.0009,1.1111,2
802,"frozenset({'902465', '902450'})",frozenset({'902453'}),0.0027,0.025,0.001,0.3743,14.9942,0.0009,1.5584,2
803,frozenset({'902453'}),"frozenset({'902465', '902450'})",0.025,0.0027,0.001,0.0404,14.9942,0.0009,1.0393,1
804,frozenset({'902465'}),"frozenset({'902453', '902450'})",0.0095,0.0093,0.001,0.1062,11.4319,0.0009,1.1084,1
805,frozenset({'902450'}),"frozenset({'902453', '902465'})",0.0455,0.0019,0.001,0.0222,11.4864,0.0009,1.0207,1
806,"frozenset({'902449', '902453'})",frozenset({'902465'}),0.0114,0.0095,0.0013,0.1153,12.1491,0.0012,1.1196,2
807,"frozenset({'902449', '902465'})",frozenset({'902453'}),0.0026,0.025,0.0013,0.5056,20.2505,0.0012,1.972,2
808,"frozenset({'902453', '902465'})",frozenset({'902449'}),0.0019,0.0405,0.0013,0.6791,16.7644,0.0012,2.99,2
809,frozenset({'902449'}),"frozenset({'902453', '902465'})",0.0405,0.0019,0.0013,0.0324,16.7644,0.0012,1.0314,1
810,frozenset({'902453'}),"frozenset({'902449', '902465'})",0.025,0.0026,0.0013,0.0525,20.2505,0.0012,1.0527,1
811,frozenset({'902465'}),"frozenset({'902449', '902453'})",0.0095,0.0114,0.0013,0.1381,12.1491,0.0012,1.147,1
812,"frozenset({'902451', '902449'})",frozenset({'902465'}),0.0083,0.0095,0.0011,0.1302,13.7157,0.001,1.1388,2
813,"frozenset({'902451', '902465'})",frozenset({'902449'}),0.0016,0.0405,0.0011,0.6637,16.3845,0.001,2.8532,2
814,"frozenset({'902449', '902465'})",frozenset({'902451'}),0.0026,0.0168,0.0011,0.4167,24.7423,0.001,1.6854,2
815,frozenset({'902451'}),"frozenset({'902449', '902465'})",0.0168,0.0026,0.0011,0.0642,24.7423,0.001,1.0658,1
816,frozenset({'902449'}),"frozenset({'902451', '902465'})",0.0405,0.0016,0.0011,0.0267,16.3845,0.001,1.0257,1
817,frozenset({'902465'}),"frozenset({'902451', '902449'})",0.0095,0.0083,0.0011,0.1138,13.7157,0.001,1.1191,1
818,frozenset({'902405'}),frozenset({'902418'}),0.0611,0.0036,0.0012,0.0198,5.4573,0.001,1.0165,1
819,frozenset({'902418'}),frozenset({'902405'}),0.0036,0.0611,0.0012,0.3333,5.4573,0.001,1.4084,1
820,frozenset({'902405'}),frozenset({'902419'}),0.0611,0.0029,0.0021,0.0337,11.5329,0.0019,1.0319,1
821,frozenset({'902419'}),frozenset({'902405'}),0.0029,0.0611,0.0021,0.7044,11.5329,0.0019,3.1767,1
822,frozenset({'902405'}),frozenset({'902428'}),0.0611,0.0028,0.0015,0.0252,8.9377,0.0014,1.023,1
823,frozenset({'902428'}),frozenset({'902405'}),0.0028,0.0611,0.0015,0.5459,8.9377,0.0014,2.0677,1
824,frozenset({'908059'}),frozenset({'901869'}),0.0287,0.0284,0.0016,0.0573,2.0176,0.0008,1.0307,1
825,frozenset({'901869'}),frozenset({'908059'}),0.0284,0.0287,0.0016,0.0578,2.0176,0.0008,1.0309,1
826,frozenset({'900349'}),frozenset({'901869'}),0.0343,0.0284,0.0019,0.0567,1.9967,0.001,1.03,1
827,frozenset({'901869'}),frozenset({'900349'}),0.0284,0.0343,0.0019,0.0685,1.9967,0.001,1.0367,1
828,frozenset({'900510'}),frozenset({'901869'}),0.0432,0.0284,0.0098,0.2259,7.9528,0.0085,1.2552,1
829,frozenset({'901869'}),frozenset({'900510'}),0.0284,0.0432,0.0098,0.3438,7.9528,0.0085,1.4581,1
830,frozenset({'901869'}),frozenset({'900061'}),0.0284,0.0306,0.0015,0.0532,1.7394,0.0006,1.0239,1
831,frozenset({'900061'}),frozenset({'901869'}),0.0306,0.0284,0.0015,0.0494,1.7394,0.0006,1.0221,1
832,frozenset({'902449'}),frozenset({'901869'}),0.0405,0.0284,0.0016,0.0388,1.3645,0.0004,1.0108,1
833,frozenset({'901869'}),frozenset({'902449'}),0.0284,0.0405,0.0016,0.0553,1.3645,0.0004,1.0156,1
834,frozenset({'901869'}),frozenset({'902450'}),0.0284,0.0455,0.0014,0.0502,1.1039,0.0001,1.005,1
835,frozenset({'902450'}),frozenset({'901869'}),0.0455,0.0284,0.0014,0.0314,1.1039,0.0001,1.003,1
836,frozenset({'908059'}),frozenset({'902130'}),0.0287,0.0145,0.0011,0.0377,2.5968,0.0007,1.0241,1
837,frozenset({'902130'}),frozenset({'908059'}),0.0145,0.0287,0.0011,0.0744,2.5968,0.0007,1.0494,1
838,frozenset({'900349'}),frozenset({'902130'}),0.0343,0.0145,0.0018,0.0525,3.6169,0.0013,1.0401,1
839,frozenset({'902130'}),frozenset({'900349'}),0.0145,0.0343,0.0018,0.124,3.6169,0.0013,1.1024,1
840,frozenset({'902130'}),frozenset({'903136'}),0.0145,0.0197,0.0014,0.0942,4.7859,0.0011,1.0823,1
841,frozenset({'903136'}),frozenset({'902130'}),0.0197,0.0145,0.0014,0.0695,4.7859,0.0011,1.0591,1
842,frozenset({'902130'}),frozenset({'902129'}),0.0145,0.0198,0.0015,0.1052,5.3051,0.0012,1.0954,1
843,frozenset({'902129'}),frozenset({'902130'}),0.0198,0.0145,0.0015,0.077,5.3051,0.0012,1.0677,1
844,frozenset({'902130'}),frozenset({'900340'}),0.0145,0.021,0.0012,0.0804,3.8338,0.0009,1.0646,1
845,frozenset({'900340'}),frozenset({'902130'}),0.021,0.0145,0.0012,0.0557,3.8338,0.0009,1.0436,1
846,frozenset({'912467'}),frozenset({'902130'}),0.024,0.0145,0.0013,0.0523,3.5984,0.0009,1.0398,1
847,frozenset({'902130'}),frozenset({'912467'}),0.0145,0.024,0.0013,0.0863,3.5984,0.0009,1.0682,1
848,frozenset({'902130'}),frozenset({'902132'}),0.0145,0.0171,0.0014,0.0972,5.7001,0.0012,1.0888,1
849,frozenset({'902132'}),frozenset({'902130'}),0.0171,0.0145,0.0014,0.0828,5.7001,0.0012,1.0744,1
850,frozenset({'900510'}),frozenset({'902130'}),0.0432,0.0145,0.0014,0.0327,2.2489,0.0008,1.0187,1
851,frozenset({'902130'}),frozenset({'900510'}),0.0145,0.0432,0.0014,0.0972,2.2489,0.0008,1.0598,1
852,frozenset({'902130'}),frozenset({'903133'}),0.0145,0.0189,0.0011,0.0734,3.8783,0.0008,1.0588,1
853,frozenset({'903133'}),frozenset({'902130'}),0.0189,0.0145,0.0011,0.0563,3.8783,0.0008,1.0443,1
854,frozenset({'900120'}),frozenset({'902130'}),0.0204,0.0145,0.001,0.0508,3.4967,0.0007,1.0382,1
855,frozenset({'902130'}),frozenset({'900120'}),0.0145,0.0204,0.001,0.0714,3.4967,0.0007,1.0549,1
856,frozenset({'902130'}),frozenset({'900061'}),0.0145,0.0306,0.0012,0.0843,2.7546,0.0008,1.0587,1
857,frozenset({'900061'}),frozenset({'902130'}),0.0306,0.0145,0.0012,0.04,2.7546,0.0008,1.0265,1
858,frozenset({'902130'}),frozenset({'902133'}),0.0145,0.0238,0.0025,0.1706,7.1571,0.0021,1.177,1
859,frozenset({'902133'}),frozenset({'902130'}),0.0238,0.0145,0.0025,0.1039,7.1571,0.0021,1.0998,1
860,frozenset({'902130'}),frozenset({'900116'}),0.0145,0.0261,0.0017,0.1171,4.4797,0.0013,1.103,1
861,frozenset({'900116'}),frozenset({'902130'}),0.0261,0.0145,0.0017,0.065,4.4797,0.0013,1.054,1
862,frozenset({'911481'}),frozenset({'902130'}),0.0184,0.0145,0.0012,0.0627,4.321,0.0009,1.0515,1
863,frozenset({'902130'}),frozenset({'911481'}),0.0145,0.0184,0.0012,0.0794,4.321,0.0009,1.0663,1
864,frozenset({'902130'}),frozenset({'901728'}),0.0145,0.0233,0.0015,0.1002,4.3041,0.0011,1.0855,1
865,frozenset({'901728'}),frozenset({'902130'}),0.0233,0.0145,0.0015,0.0625,4.3041,0.0011,1.0512,1
866,frozenset({'916359'}),frozenset({'900126'}),0.0118,0.0082,0.0012,0.0976,11.8814,0.0011,1.099,1
867,frozenset({'900126'}),frozenset({'916359'}),0.0082,0.0118,0.0012,0.1404,11.8814,0.0011,1.1495,1
868,frozenset({'902133'}),frozenset({'900126'}),0.0238,0.0082,0.0012,0.0502,6.1076,0.001,1.0442,1
869,frozenset({'900126'}),frozenset({'902133'}),0.0082,0.0238,0.0012,0.1456,6.1076,0.001,1.1425,1
870,frozenset({'912468'}),frozenset({'903133'}),0.0075,0.0189,0.0017,0.2288,12.0897,0.0016,1.2722,1
871,frozenset({'903133'}),frozenset({'912468'}),0.0189,0.0075,0.0017,0.0906,12.0897,0.0016,1.0913,1
872,frozenset({'908059'}),frozenset({'912468'}),0.0287,0.0075,0.0014,0.0483,6.4432,0.0012,1.0428,1
873,frozenset({'912468'}),frozenset({'908059'}),0.0075,0.0287,0.0014,0.1846,6.4432,0.0012,1.1913,1
874,frozenset({'912467'}),frozenset({'912468'}),0.024,0.0075,0.0039,0.1616,21.5675,0.0037,1.1838,1
875,frozenset({'912468'}),frozenset({'912467'}),0.0075,0.024,0.0039,0.5173,21.5675,0.0037,2.022,1
876,frozenset({'912468'}),frozenset({'903136'}),0.0075,0.0197,0.0017,0.2269,11.5233,0.0016,1.2681,1
877,frozenset({'903136'}),frozenset({'912468'}),0.0197,0.0075,0.0017,0.0863,11.5233,0.0016,1.0863,1
878,"frozenset({'912467', '912468'})",frozenset({'903133'}),0.0039,0.0189,0.001,0.2677,14.14,0.001,1.3396,2
879,"frozenset({'912467', '903133'})",frozenset({'912468'}),0.0046,0.0075,0.001,0.2264,30.2251,0.001,1.283,2
880,"frozenset({'912468', '903133'})",frozenset({'912467'}),0.0017,0.024,0.001,0.605,25.2253,0.001,2.4712,2
881,frozenset({'912467'}),"frozenset({'912468', '903133'})",0.024,0.0017,0.001,0.0432,25.2253,0.001,1.0434,1
882,frozenset({'912468'}),"frozenset({'912467', '903133'})",0.0075,0.0046,0.001,0.1385,30.2251,0.001,1.1554,1
883,frozenset({'903133'}),"frozenset({'912467', '912468'})",0.0189,0.0039,0.001,0.0548,14.14,0.001,1.0539,1
884,"frozenset({'912467', '912468'})",frozenset({'903136'}),0.0039,0.0197,0.0011,0.2825,14.3469,0.001,1.3663,2
885,"frozenset({'912467', '903136'})",frozenset({'912468'}),0.0052,0.0075,0.0011,0.2117,28.2606,0.0011,1.259,2
886,"frozenset({'912468', '903136'})",frozenset({'912467'}),0.0017,0.024,0.0011,0.6441,26.8524,0.0011,2.7421,2
887,frozenset({'912467'}),"frozenset({'912468', '903136'})",0.024,0.0017,0.0011,0.0456,26.8524,0.0011,1.046,1
888,frozenset({'912468'}),"frozenset({'912467', '903136'})",0.0075,0.0052,0.0011,0.1462,28.2606,0.0011,1.1651,1
889,frozenset({'903136'}),"frozenset({'912467', '912468'})",0.0197,0.0039,0.0011,0.0556,14.3469,0.001,1.0548,1
890,frozenset({'908060'}),frozenset({'908059'}),0.0057,0.0287,0.0011,0.1855,6.4728,0.0009,1.1925,1
891,frozenset({'908059'}),frozenset({'908060'}),0.0287,0.0057,0.0011,0.0372,6.4728,0.0009,1.0327,1
892,frozenset({'901834'}),frozenset({'901829'}),0.0049,0.0095,0.0011,0.2242,23.7233,0.001,1.2768,1
893,frozenset({'901829'}),frozenset({'901834'}),0.0095,0.0049,0.0011,0.1159,23.7233,0.001,1.1255,1
894,frozenset({'901834'}),frozenset({'901830'}),0.0049,0.0077,0.0013,0.2596,33.8082,0.0012,1.3402,1
895,frozenset({'901830'}),frozenset({'901834'}),0.0077,0.0049,0.0013,0.1651,33.8082,0.0012,1.1919,1
896,frozenset({'901134'}),frozenset({'902450'}),0.0139,0.0455,0.0017,0.1195,2.6285,0.001,1.0841,1
897,frozenset({'902450'}),frozenset({'901134'}),0.0455,0.0139,0.0017,0.0364,2.6285,0.001,1.0234,1
898,frozenset({'902449'}),frozenset({'901134'}),0.0405,0.0139,0.0015,0.0373,2.6944,0.001,1.0244,1
899,frozenset({'901134'}),frozenset({'902449'}),0.0139,0.0405,0.0015,0.1091,2.6944,0.001,1.077,1
900,frozenset({'902405'}),frozenset({'901134'}),0.0611,0.0139,0.0022,0.0361,2.6039,0.0014,1.0231,1
901,frozenset({'901134'}),frozenset({'902405'}),0.0139,0.0611,0.0022,0.159,2.6039,0.0014,1.1165,1
902,frozenset({'900349'}),frozenset({'901065'}),0.0343,0.0227,0.0017,0.0508,2.2365,0.001,1.0296,1
903,frozenset({'901065'}),frozenset({'900349'}),0.0227,0.0343,0.0017,0.0767,2.2365,0.001,1.0459,1
904,frozenset({'912467'}),frozenset({'901065'}),0.024,0.0227,0.0012,0.0498,2.1929,0.0007,1.0285,1
905,frozenset({'901065'}),frozenset({'912467'}),0.0227,0.024,0.0012,0.0526,2.1929,0.0007,1.0302,1
906,frozenset({'908059'}),frozenset({'901065'}),0.0287,0.0227,0.0014,0.0503,2.2117,0.0008,1.029,1
907,frozenset({'901065'}),frozenset({'908059'}),0.0227,0.0287,0.0014,0.0634,2.2117,0.0008,1.0371,1
908,frozenset({'900510'}),frozenset({'901065'}),0.0432,0.0227,0.0017,0.0403,1.7737,0.0008,1.0183,1
909,frozenset({'901065'}),frozenset({'900510'}),0.0227,0.0432,0.0017,0.0767,1.7737,0.0008,1.0362,1
910,frozenset({'901869'}),frozenset({'901065'}),0.0284,0.0227,0.0013,0.0446,1.9631,0.0006,1.0229,1
911,frozenset({'901065'}),frozenset({'901869'}),0.0227,0.0284,0.0013,0.0558,1.9631,0.0006,1.029,1
912,frozenset({'900116'}),frozenset({'901065'}),0.0261,0.0227,0.0013,0.0507,2.2311,0.0007,1.0295,1
913,frozenset({'901065'}),frozenset({'900116'}),0.0227,0.0261,0.0013,0.0583,2.2311,0.0007,1.0342,1
914,frozenset({'902133'}),frozenset({'901065'}),0.0238,0.0227,0.0013,0.0532,2.3391,0.0007,1.0321,1
915,frozenset({'901065'}),frozenset({'902133'}),0.0227,0.0238,0.0013,0.0558,2.3391,0.0007,1.0338,1
916,frozenset({'902513'}),frozenset({'902450'}),0.0172,0.0455,0.0022,0.1255,2.76,0.0014,1.0915,1
917,frozenset({'902450'}),frozenset({'902513'}),0.0455,0.0172,0.0022,0.0475,2.76,0.0014,1.0318,1
918,frozenset({'902513'}),frozenset({'902405'}),0.0172,0.0611,0.0027,0.1556,2.5483,0.0016,1.112,1
919,frozenset({'902405'}),frozenset({'902513'}),0.0611,0.0172,0.0027,0.0439,2.5483,0.0016,1.0279,1
920,frozenset({'902449'}),frozenset({'902513'}),0.0405,0.0172,0.0019,0.0462,2.6855,0.0012,1.0304,1
921,frozenset({'902513'}),frozenset({'902449'}),0.0172,0.0405,0.0019,0.1088,2.6855,0.0012,1.0766,1
922,frozenset({'902453'}),frozenset({'902513'}),0.025,0.0172,0.0011,0.045,2.6145,0.0007,1.0291,1
